#Release 12.4 - par M.81d (lin64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Wed Nov 18 09:43:39 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system.ncd
#OUTPUT FILE:      system-routed_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,address<7>,IOB,IO_L01P_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P3,address<8>,IOB,IO_L01N_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P4,address<9>,IOB,IO_L02P_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P5,address<0>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P6,,,VCCINT,,,,,,,,1.2,,,,
P7,,,GND,,,,,,,,,,,,
P8,,,VCCO_3,,,3,,,,,3.30,,,,
P9,psr<3>,IOB,IO_L03P_3/LHCLK0,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P10,mmd<0>,IOB,IO_L03N_3/LHCLK1,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P11,mmd<1>,IOB,IO_L04P_3/LHCLK2,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P12,mmd<2>,IOB,IO_L04N_3/LHCLK3/IRDY2,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P13,rst,IBUF,IP,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P14,,,GND,,,,,,,,,,,,
P15,mmd<3>,IOB,IO_L05P_3/LHCLK4/TRDY2,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P16,mmd<4>,IOB,IO_L05N_3/LHCLK5,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P17,mmd<5>,IOB,IO_L06P_3/LHCLK6,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P18,mmd<6>,IOB,IO_L06N_3/LHCLK7,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P19,,,GND,,,,,,,,,,,,
P20,,,VCCO_3,,,3,,,,,3.30,,,,
P21,,,VCCAUX,,,,,,,,2.5,,,,
P22,mmd<7>,IOB,IO_L07P_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P23,mmd<8>,IOB,IO_L07N_3,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P24,,DIFFM,IO_L01P_2/CSO_B,UNUSED,,2,,,,,,,,,
P25,mmd<9>,IOB,IO_L01N_2/INIT_B,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P26,mmd<10>,IOB,IO_L02P_2/DOUT/BUSY,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P27,,DIFFS,IO_L02N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,,,GND,,,,,,,,,,,,
P30,,DIFFSI,IP/VREF_2,UNUSED,,2,,,,,,,,,
P31,,,VCCO_2,,,2,,,,,3.30,,,,
P32,mmd<12>,IOB,IO_L03P_2/D7/GCLK12,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
