#Release 12.4 - par M.81d (lin)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Mon Oct  5 12:03:40 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system.ncd
#OUTPUT FILE:      system-routed_pad.csv
#PART TYPE:        xc3s250e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,,DIFFM,IO_L01P_3,UNUSED,,3,,,,,,,,,
P3,ld_tx_data,IBUF,IO_L01N_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P4,tx_data<0>,IBUF,IO_L02P_3,INPUT,LVTTL,3,,,,IFD,,LOCATED,YES,NONE,
P5,tx_data<1>,IBUF,IO_L02N_3/VREF_3,INPUT,LVTTL,3,,,,IFD,,LOCATED,YES,NONE,
P6,,,VCCINT,,,,,,,,1.2,,,,
P7,,,GND,,,,,,,,,,,,
P8,,,VCCO_3,,,3,,,,,3.30,,,,
P9,tx_data<2>,IBUF,IO_L03P_3/LHCLK0,INPUT,LVTTL,3,,,,IFD,,LOCATED,YES,NONE,
P10,tx_empty,IOB,IO_L03N_3/LHCLK1,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P11,,DIFFM,IO_L04P_3/LHCLK2,UNUSED,,3,,,,,,,,,
P12,,DIFFS,IO_L04N_3/LHCLK3/IRDY2,UNUSED,,3,,,,,,,,,
P13,reset,IBUF,IP,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P14,,,GND,,,,,,,,,,,,
P15,,DIFFM,IO_L05P_3/LHCLK4/TRDY2,UNUSED,,3,,,,,,,,,
P16,,DIFFS,IO_L05N_3/LHCLK5,UNUSED,,3,,,,,,,,,
P17,,DIFFM,IO_L06P_3/LHCLK6,UNUSED,,3,,,,,,,,,
P18,,DIFFS,IO_L06N_3/LHCLK7,UNUSED,,3,,,,,,,,,
P19,,,GND,,,,,,,,,,,,
P20,,,VCCO_3,,,3,,,,,3.30,,,,
P21,,,VCCAUX,,,,,,,,2.5,,,,
P22,,DIFFM,IO_L07P_3,UNUSED,,3,,,,,,,,,
P23,,DIFFS,IO_L07N_3,UNUSED,,3,,,,,,,,,
P24,,DIFFM,IO_L01P_2/CSO_B,UNUSED,,2,,,,,,,,,
